ID_Commessa;Data\Ora;Tipologia;Periferica;Valore;Codice;Descrizione;Encoder
3;15/05/2025 23:59;Silent Warning;7S0306;OFF;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;59844916
3;15/05/2025 23:59;Silent Warning;7S0301;OFF;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;56721664
3;15/05/2025 23:59;Silent Warning;7S0306;ON;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;59844916
3;15/05/2025 23:59;Silent Warning;7S0301;ON;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;56721664
3;15/05/2025 23:59;Silent Warning;7S0302;OFF;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;48711145
3;15/05/2025 23:59;Silent Warning;7S0302;ON;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;48711145
3;15/05/2025 23:59;Silent Warning;7S0303;OFF;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;55132217
3;15/05/2025 23:59;Silent Warning;7S0303;ON;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;55132217
3;15/05/2025 23:59;Silent Warning;7S0101;OFF;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;11282058
3;15/05/2025 23:59;Silent Warning;7S0101;ON;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;11282061
3;15/05/2025 23:59;Silent Warning;7S0305;OFF;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;50516217
3;15/05/2025 23:59;Silent Warning;7S0304;OFF;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;52679640
3;15/05/2025 23:59;Silent Warning;7S0304;ON;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;52679640
3;15/05/2025 23:59;Silent Warning;7S0305;ON;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;50516206
3;15/05/2025 23:59;Silent Warning;7S0201;OFF;DB126.DBX6.0;#400 -  Missioni Salita -  Attivata correzione per tolleranza;33426302
3;15/05/2025 23:59;Silent Warning;7S0201;ON;DB126.DBX6.0;#400 -  Missioni Salita -  Attivata correzione per tolleranza;33426302
3;15/05/2025 23:59;Silent Warning;7S0308;OFF;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;62954400
3;15/05/2025 23:59;Silent Warning;7S0308;ON;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;62954408
3;15/05/2025 23:59;Silent Warning;7S0307;OFF;DB126.DBX4.0;#300 -  Missioni Movimento -  Attivata correzione per tolleranza;66998974
