Date\time TX;Machine;Type;Result;Date\time RX;Quote;# PLC;# LU;Row;Destination;Start;End;Start quote;Start date\time;Distance;Timespan;Direction;Logical state;Index;Num. missions;Note;Battery Level Tx;Battery Level Rx;Encoder Value Tx;LU Weight;Parameters
5/15/2025 11:59:15 PM;7S0309;(30) Move;(21) OK silent warning;5/16/2025 12:00:02 AM;50749303;0;;;50749298;50764857;50748638;50764198;5/15/2025 11:59:21 PM;14900;00:00:41;Backward;TGLS_113;2;2;;83;83;9212804;0;2
5/15/2025 11:59:15 PM;7S0309;(50) Move out;(1) OK;5/15/2025 11:59:21 PM;50764198;0;;7N0309;9212802;9212170;9213430;9212804;5/15/2025 11:59:15 PM;2;00:00:05;Backward;TGLS_101;1;2;;83;83;9212804;0;2
5/15/2025 11:59:12 PM;7N0309;(30) Move;(1) OK;5/15/2025 11:59:14 PM;2874706;0;;L9-C50-L - WH3 (N 4418);2874706;2800163;2898037;2874699;5/15/2025 11:59:12 PM;7;00:00:02;Forward;TGLS_201;1;1;;0;0;2874699;0;1
5/15/2025 11:58:58 PM;7S0309;(40) Move in;(1) OK;5/15/2025 11:59:11 PM;9212804;0;;7N0309;9212802;9212170;9213430;50907063;5/15/2025 11:59:06 PM;41694261;00:00:04;Backward;TGLS_113;2;2;;83;83;50916280;0;0
5/15/2025 11:58:58 PM;7S0309;(30) Move;(1) OK;5/15/2025 11:59:06 PM;50907063;0;;;50907060;50906392;50916939;50916280;5/15/2025 11:58:58 PM;9220;00:00:07;Backward;TGLS_113;1;2;;83;83;50916280;0;0
5/15/2025 11:58:24 PM;7S0309;(30) Move;(21) OK silent warning;5/15/2025 11:58:57 PM;50916280;0;;;50916279;50906392;50916939;50907057;5/15/2025 11:58:30 PM;9222;00:00:27;Forward;TGLS_113;2;2;;83;83;9212799;0;2
5/15/2025 11:58:24 PM;7S0309;(50) Move out;(1) OK;5/15/2025 11:58:30 PM;50907057;0;;7N0309;9212802;9212170;9213430;9212799;5/15/2025 11:58:24 PM;3;00:00:05;Forward;TGLS_101;1;2;;83;83;9212799;0;2
5/15/2025 11:58:18 PM;7N0309;(30) Move;(1) OK;5/15/2025 11:58:23 PM;2874698;0;;L9-C50-R - WH3 (N 4417);2874699;2800163;2898037;2873243;5/15/2025 11:58:18 PM;1456;00:00:05;Forward;TGLS_201;1;1;;0;0;2873243;0;1
5/15/2025 11:58:01 PM;7S0309;(40) Move in;(1) OK;5/15/2025 11:58:17 PM;9212799;0;;7N0309;9212802;9212170;9213430;50781544;5/15/2025 11:58:13 PM;41568742;00:00:03;Forward;TGLS_113;2;2;;83;83;50765706;0;0
5/15/2025 11:58:01 PM;7S0309;(30) Move;(1) OK;5/15/2025 11:58:13 PM;50781544;0;;;50781547;50782189;50765041;50765706;5/15/2025 11:58:01 PM;15841;00:00:12;Forward;TGLS_113;1;2;;83;83;50765706;0;0
5/15/2025 11:57:11 PM;7S0309;(30) Move;(21) OK silent warning;5/15/2025 11:58:01 PM;50765706;0;;;50765701;50782189;50765041;50781546;5/15/2025 11:57:17 PM;15845;00:00:43;Backward;TGLS_113;2;2;;83;83;9212804;0;2
5/15/2025 11:57:11 PM;7S0309;(50) Move out;(1) OK;5/15/2025 11:57:17 PM;50781546;0;;7N0309;9212802;9212170;9213430;9212804;5/15/2025 11:57:11 PM;2;00:00:05;Backward;TGLS_101;1;2;;83;83;9212804;0;2
5/15/2025 11:56:58 PM;7S0309;(40) Move in;(1) OK;5/15/2025 11:57:10 PM;9212804;0;;7N0309;9212802;9212170;9213430;58889863;5/15/2025 11:57:06 PM;49677061;00:00:04;Backward;TGLS_113;2;2;;83;83;58899097;0;0
5/15/2025 11:56:58 PM;7S0309;(30) Move;(1) OK;5/15/2025 11:57:06 PM;58889863;0;;;58889864;58889221;58899762;58899097;5/15/2025 11:56:58 PM;9233;00:00:07;Backward;TGLS_113;1;2;;83;83;58899097;0;0
5/15/2025 11:56:25 PM;7S0309;(30) Move;(21) OK silent warning;5/15/2025 11:56:57 PM;58899097;0;;;58899102;58889221;58899762;58889867;5/15/2025 11:56:31 PM;9235;00:00:26;Forward;TGLS_113;2;2;;83;83;9212799;0;2
5/15/2025 11:56:25 PM;7S0309;(50) Move out;(1) OK;5/15/2025 11:56:31 PM;58889867;0;;7N0309;9212802;9212170;9213430;9212799;5/15/2025 11:56:25 PM;3;00:00:05;Forward;TGLS_101;1;2;;83;83;9212799;0;2
