ID_Commissione;Data\Ora TX;Macchina;Tipo;Risultati;Data\Ora RX;Quota;# PLC;# UDC;Cella;Destinazione;Inizio;Fine;Quota inizio;Data\Ora inizio;Distanza;Durata;Direzione;Stato logico;Indice;Num. missioni;Note;Livello Batteria Tx;Livello Batteria Rx;Valore encoder Tx;Peso UDC;Parametri
3;2025-05-13 23:59:32;7S0309;(40) Ingresso;(1) OK;2025-05-14 00:00:13;9212800;0;;7N0309;9212802;9212170;9213430;58988190;2025-05-14 00:00:08;49775388;00:00:04;Forward;TGLS_113;6;6;;84;84;9212806;0;1
3;2025-05-13 23:59:32;7S0309;(30) Spostamento;(1) OK;2025-05-14 00:00:08;58988190;0;;;58988193;58988856;58971685;58972345;2025-05-13 23:59:58;15848;00:00:10;Forward;TGLS_113;5;6;;84;84;9212806;0;1
3;2025-05-13 23:59:32;7S0309;(20) Deposito;(1) OK;2025-05-13 23:59:58;58972345;28710;2175589;;58972345;58988856;58971685;58972345;2025-05-13 23:59:55;0;00:00:02; ;TGLS_223;4;6;;84;84;9212806;1;1
3;2025-05-13 23:59:32;7S0309;(30) Spostamento;(1) OK;2025-05-13 23:59:55;58972345;28710;2175589;;58972345;58988856;58971685;58988198;2025-05-13 23:59:41;15853;00:00:14;Backward;TGLS_213;3;6;;84;84;9212806;1;1
3;2025-05-13 23:59:32;7S0309;(50) Uscita;(1) OK;2025-05-13 23:59:41;58988198;28710;2175589;7N0309;9212802;9212170;9213430;9212806;2025-05-13 23:59:35;4;00:00:05;Backward;TGLS_203;2;6;;84;84;9212806;1;1
3;2025-05-13 23:59:32;7S0309;(10) Prelievo;(1) OK;2025-05-13 23:59:35;9212806;28710;2175589;7N0309;9212802;9212170;9213430;9212806;2025-05-13 23:59:32;4;00:00:03; ;TGLS_107;1;6;;84;84;9212806;1;1
3;2025-05-13 23:58:05;7N0309;(30) Spostamento;(1) OK;2025-05-13 23:59:31;2892218;28710;2175589;L9-C62-L - WH3 (N 4442);2892218;2800163;2898037;2803069;2025-05-13 23:58:56;89149;00:00:34;Forward;TGLS_202;4;4;;0;0;2890757;1;1
3;2025-05-13 23:58:05;7N0309;(61) CenterPalletWithChain;(1) OK;2025-05-13 23:58:56;2803069;0;;L9-C62-L - WH3 (N 4442);2892218;2800163;2898037;2803069;2025-05-13 23:58:46;89149;00:00:09; ;TGLS_202;3;4;;0;0;2890757;0;1
3;2025-05-13 23:58:05;7N0309;(10) Prelievo con catena;(1) OK;2025-05-13 23:58:46;2803069;28710;2175589;L9-C01-R  (1E09)- WH3 (N 4320);2803068;2800163;2898037;2803069;2025-05-13 23:58:39;1;00:00:07;Backward;TGLS_201;2;4;;0;0;2890757;1;1
3;2025-05-13 23:58:05;7N0309;(30) Spostamento;(1) OK;2025-05-13 23:58:39;2803069;0;;L9-C01-R  (1E09)- WH3 (N 4320);2803068;2800163;2898037;2890757;2025-05-13 23:58:05;87689;00:00:33;Backward;TGLS_201;1;4;;0;0;2890757;0;1
3;2025-05-13 23:57:30;7S0409;(41) Ingresso da quota parziale;(1) OK;2025-05-13 23:57:47;9225305;0;;7N0409;9225303;9224730;9225928;75430099;2025-05-13 23:57:42;66204796;00:00:05;Backward;TGLS_113;5;5;;82;82;9225306;0;1
3;2025-05-13 23:57:30;7S0409;(20) Deposito;(1) OK;2025-05-13 23:57:42;75430099;7120;2116786;;75430101;75429606;75446790;75430100;2025-05-13 23:57:40;1;00:00:02; ;TGLS_233;4;5;;82;82;9225306;1;1
3;2025-05-13 23:57:30;7S0409;(31) Movimento parziale;(21) OK silent warning;2025-05-13 23:57:40;75430100;7120;2116786;;75430101;75429606;75446790;75429607;2025-05-13 23:57:35;494;00:00:04;Forward;TGLS_213;3;5;;82;82;9225306;1;1
3;2025-05-13 23:57:30;7S0409;(51) Uscita parziale;(1) OK;2025-05-13 23:57:35;75429607;7120;2116786;7N0409;9225303;9224730;9225928;9225306;2025-05-13 23:57:33;3;00:00:02;Forward;TGLS_203;2;5;;82;82;9225306;1;1
3;2025-05-13 23:57:30;7S0409;(10) Prelievo;(1) OK;2025-05-13 23:57:33;9225306;7120;2116786;7N0409;9225303;9224730;9225928;9225306;2025-05-13 23:57:30;3;00:00:03; ;TGLS_107;1;5;;82;82;9225306;1;1
3;2025-05-13 23:57:25;7S0309;(40) Ingresso;(1) OK;2025-05-13 23:58:03;9212805;0;;7N0309;9212802;9212170;9213430;59003648;2025-05-13 23:57:58;49790846;00:00:04;Backward;TGLS_113;6;6;;85;84;9212800;0;1
3;2025-05-13 23:57:25;7S0309;(30) Spostamento;(1) OK;2025-05-13 23:57:58;59003648;0;;;59003645;59003000;59013526;59011908;2025-05-13 23:57:52;8263;00:00:06;Backward;TGLS_113;5;6;;85;85;9212800;0;1
3;2025-05-13 23:57:25;7S0309;(20) Deposito;(1) OK;2025-05-13 23:57:52;59011908;5028;2177393;;59011911;59003000;59013526;59011909;2025-05-13 23:57:49;2;00:00:02; ;TGLS_233;4;6;;85;85;9212800;813;1
3;2025-05-13 23:57:25;7S0309;(30) Spostamento;(1) OK;2025-05-13 23:57:49;59011909;5028;2177393;;59011911;59003000;59013526;59003640;2025-05-13 23:57:35;8271;00:00:14;Forward;TGLS_213;3;6;;85;85;9212800;813;1
3;2025-05-13 23:57:25;7S0309;(50) Uscita;(1) OK;2025-05-13 23:57:35;59003640;5028;2177393;7N0309;9212802;9212170;9213430;9212800;2025-05-13 23:57:28;2;00:00:06;Forward;TGLS_203;2;6;;85;85;9212800;813;1
3;2025-05-13 23:57:25;7S0309;(10) Prelievo;(1) OK;2025-05-13 23:57:28;9212800;5028;2177393;7N0309;9212802;9212170;9213430;9212800;2025-05-13 23:57:25;2;00:00:03; ;TGLS_107;1;6;;85;85;9212800;813;1
3;2025-05-13 23:57:20;7N0409;(30) Spostamento;(1) OK;2025-05-13 23:57:29;3858586;0;;L9-C39-R - WH4 (N 4522);3858585;3800078;3897981;3862965;2025-05-13 23:57:20;4380;00:00:08;Backward;TGLS_202;1;1;;0;0;3862965;0;1
3;2025-05-13 23:56:54;7S0409;(20) Deposito;(1) OK;2025-05-13 23:57:23;9225305;7120;2116786;7N0409;9225303;9224730;9225928;9225305;2025-05-13 23:57:20;2;00:00:02; ;TGLS_203;6;6;;82;82;9225304;1;1
3;2025-05-13 23:56:54;7S0409;(40) Ingresso;(1) OK;2025-05-13 23:57:20;9225305;7120;2116786;7N0409;9225303;9224730;9225928;75755523;2025-05-13 23:57:15;66530220;00:00:05;Backward;TGLS_213;5;6;;82;82;9225304;1;1
3;2025-05-13 23:56:54;7S0409;(30) Spostamento;(1) OK;2025-05-13 23:57:15;75755523;7120;2116786;;75755519;75754868;75772054;75760088;2025-05-13 23:57:07;4569;00:00:08;Backward;TGLS_233;4;6;;82;82;9225304;1;1
3;2025-05-13 23:56:54;7S0409;(10) Prelievo;(1) OK;2025-05-13 23:57:07;75760088;7120;2116786;;75760090;75754868;75772054;75760088;2025-05-13 23:57:04;2;00:00:02; ;TGLS_134;3;6;;82;82;9225304;1;1
3;2025-05-13 23:56:54;7S0409;(30) Spostamento;(1) OK;2025-05-13 23:57:04;75760088;7120;2116786;;75760090;75754868;75772054;75755509;2025-05-13 23:57:00;4581;00:00:04;Forward;TGLS_103;2;6;;82;82;9225304;1;1
3;2025-05-13 23:56:54;7S0409;(50) Uscita;(1) OK;2025-05-13 23:57:00;75755509;0;;7N0409;9225303;9224730;9225928;9225304;2025-05-13 23:56:54;1;00:00:05;Forward;TGLS_101;1;6;;82;82;9225304;0;1
3;2025-05-13 23:56:32;7N0309;(30) Spostamento;(1) OK;2025-05-13 23:57:24;2890757;5028;2177393;L9-C61-R - WH3 (N 4439);2890756;2800163;2898037;2803073;2025-05-13 23:56:49;87683;00:00:35;Forward;TGLS_202;4;4;;0;0;2803068;813;1
3;2025-05-13 23:56:32;7N0309;(60) Posizionamento con catene;(1) OK;2025-05-13 23:56:49;2803073;0;;L9-C61-R - WH3 (N 4439);2890756;2800163;2898037;2803073;2025-05-13 23:56:41;87683;00:00:07;Forward;TGLS_202;3;4;;0;0;2803068;0;1
3;2025-05-13 23:56:32;7N0309;(10) Prelievo con catena;(1) OK;2025-05-13 23:56:41;2803073;5028;2177393;L9-C01-L  (1F09)- WH3 (N 4321);2803073;2800163;2898037;2803073;2025-05-13 23:56:34;0;00:00:07;Forward;TGLS_201;2;4;;0;0;2803068;813;1
3;2025-05-13 23:56:32;7N0309;(30) Spostamento;(1) OK;2025-05-13 23:56:34;2803073;0;;L9-C01-L  (1F09)- WH3 (N 4321);2803073;2800163;2898037;2803068;2025-05-13 23:56:32;5;00:00:02;Forward;TGLS_201;1;4;;0;0;2803068;0;1
3;2025-05-13 23:56:28;7N0409;(30) Spostamento;(1) OK;2025-05-13 23:56:53;3862967;0;;L9-C42-R - WH4 (N 4528);3862966;3800078;3897981;3802991;2025-05-13 23:56:28;59975;00:00:25;Forward;TGLS_201;1;1;;0;0;3802991;0;1
3;2025-05-13 23:55:34;7N0409;(30) Spostamento;(1) OK;2025-05-13 23:55:54;3802992;0;;L9-C01-R  (1G09)- WH4 (N 4447);3802990;3800078;3897981;3845444;2025-05-13 23:55:34;42454;00:00:20;Backward;TGLS_201;1;1;;0;0;3845444;0;1
3;2025-05-13 23:50:16;7S0409;(41) Ingresso da quota parziale;(1) OK;2025-05-13 23:50:32;9225305;0;;7N0409;9225303;9224730;9225928;76983162;2025-05-13 23:50:28;67757859;00:00:04;Backward;TGLS_113;5;5;;83;83;9225305;0;1
