ID_Commissione;Data\Ora TX;Macchina;Tipo;Risultati;Data\Ora RX;Quota;# PLC;# UDC;Cella;Destinazione;Inizio;Fine;Quota inizio;Data\Ora inizio;Distanza;Durata;Direzione;Stato logico;Indice;Num. missioni;Note;Livello Batteria Tx;Livello Batteria Rx;Valore encoder Tx;Peso UDC;Parametri
3;2025-05-15 23:59:15;7S0309;(30) Spostamento;(21) OK silent warning;2025-05-16 00:00:02;50749303;0;;;50749298;50764857;50748638;50764198;2025-05-15 23:59:21;14900;00:00:41;Backward;TGLS_113;2;2;;83;83;9212804;0;2
3;2025-05-15 23:59:15;7S0309;(50) Uscita;(1) OK;2025-05-15 23:59:21;50764198;0;;7N0309;9212802;9212170;9213430;9212804;2025-05-15 23:59:15;2;00:00:05;Backward;TGLS_101;1;2;;83;83;9212804;0;2
3;2025-05-15 23:59:12;7N0309;(30) Spostamento;(1) OK;2025-05-15 23:59:14;2874706;0;;L9-C50-L - WH3 (N 4418);2874706;2800163;2898037;2874699;2025-05-15 23:59:12;7;00:00:02;Forward;TGLS_201;1;1;;0;0;2874699;0;1
3;2025-05-15 23:58:58;7S0309;(40) Ingresso;(1) OK;2025-05-15 23:59:11;9212804;0;;7N0309;9212802;9212170;9213430;50907063;2025-05-15 23:59:06;41694261;00:00:04;Backward;TGLS_113;2;2;;83;83;50916280;0;0
3;2025-05-15 23:58:58;7S0309;(30) Spostamento;(1) OK;2025-05-15 23:59:06;50907063;0;;;50907060;50906392;50916939;50916280;2025-05-15 23:58:58;9220;00:00:07;Backward;TGLS_113;1;2;;83;83;50916280;0;0
3;2025-05-15 23:58:24;7S0309;(30) Spostamento;(21) OK silent warning;2025-05-15 23:58:57;50916280;0;;;50916279;50906392;50916939;50907057;2025-05-15 23:58:30;9222;00:00:27;Forward;TGLS_113;2;2;;83;83;9212799;0;2
3;2025-05-15 23:58:24;7S0309;(50) Uscita;(1) OK;2025-05-15 23:58:30;50907057;0;;7N0309;9212802;9212170;9213430;9212799;2025-05-15 23:58:24;3;00:00:05;Forward;TGLS_101;1;2;;83;83;9212799;0;2
3;2025-05-15 23:58:18;7N0309;(30) Spostamento;(1) OK;2025-05-15 23:58:23;2874698;0;;L9-C50-R - WH3 (N 4417);2874699;2800163;2898037;2873243;2025-05-15 23:58:18;1456;00:00:05;Forward;TGLS_201;1;1;;0;0;2873243;0;1
3;2025-05-15 23:58:01;7S0309;(40) Ingresso;(1) OK;2025-05-15 23:58:17;9212799;0;;7N0309;9212802;9212170;9213430;50781544;2025-05-15 23:58:13;41568742;00:00:03;Forward;TGLS_113;2;2;;83;83;50765706;0;0
3;2025-05-15 23:58:01;7S0309;(30) Spostamento;(1) OK;2025-05-15 23:58:13;50781544;0;;;50781547;50782189;50765041;50765706;2025-05-15 23:58:01;15841;00:00:12;Forward;TGLS_113;1;2;;83;83;50765706;0;0
3;2025-05-15 23:57:11;7S0309;(30) Spostamento;(21) OK silent warning;2025-05-15 23:58:01;50765706;0;;;50765701;50782189;50765041;50781546;2025-05-15 23:57:17;15845;00:00:43;Backward;TGLS_113;2;2;;83;83;9212804;0;2
3;2025-05-15 23:57:11;7S0309;(50) Uscita;(1) OK;2025-05-15 23:57:17;50781546;0;;7N0309;9212802;9212170;9213430;9212804;2025-05-15 23:57:11;2;00:00:05;Backward;TGLS_101;1;2;;83;83;9212804;0;2
3;2025-05-15 23:56:58;7S0309;(40) Ingresso;(1) OK;2025-05-15 23:57:10;9212804;0;;7N0309;9212802;9212170;9213430;58889863;2025-05-15 23:57:06;49677061;00:00:04;Backward;TGLS_113;2;2;;83;83;58899097;0;0
3;2025-05-15 23:56:58;7S0309;(30) Spostamento;(1) OK;2025-05-15 23:57:06;58889863;0;;;58889864;58889221;58899762;58899097;2025-05-15 23:56:58;9233;00:00:07;Backward;TGLS_113;1;2;;83;83;58899097;0;0
3;2025-05-15 23:56:25;7S0309;(30) Spostamento;(21) OK silent warning;2025-05-15 23:56:57;58899097;0;;;58899102;58889221;58899762;58889867;2025-05-15 23:56:31;9235;00:00:26;Forward;TGLS_113;2;2;;83;83;9212799;0;2
3;2025-05-15 23:56:25;7S0309;(50) Uscita;(1) OK;2025-05-15 23:56:31;58889867;0;;7N0309;9212802;9212170;9213430;9212799;2025-05-15 23:56:25;3;00:00:05;Forward;TGLS_101;1;2;;83;83;9212799;0;2
3;2025-05-15 23:56:19;7N0309;(30) Spostamento;(1) OK;2025-05-15 23:56:24;2873243;0;;L9-C49-R - WH3 (N 4415);2873243;2800163;2898037;2871785;2025-05-15 23:56:19;1458;00:00:05;Forward;TGLS_201;1;1;;0;0;2871785;0;1
3;2025-05-15 23:56:02;7S0309;(40) Ingresso;(1) OK;2025-05-15 23:56:18;9212799;0;;7N0309;9212802;9212170;9213430;50818504;2025-05-15 23:56:14;41605702;00:00:04;Forward;TGLS_113;2;2;;83;83;50802700;0;0
3;2025-05-15 23:56:02;7S0309;(30) Spostamento;(1) OK;2025-05-15 23:56:14;50818504;0;;;50818506;50819144;50802035;50802700;2025-05-15 23:56:02;15806;00:00:11;Forward;TGLS_113;1;2;;83;83;50802700;0;0
3;2025-05-15 23:55:12;7S0309;(30) Spostamento;(21) OK silent warning;2025-05-15 23:56:02;50802700;0;;;50802695;50819144;50802035;50818503;2025-05-15 23:55:18;15808;00:00:43;Backward;TGLS_113;2;2;;83;83;9212804;0;2
3;2025-05-15 23:55:12;7S0309;(50) Uscita;(1) OK;2025-05-15 23:55:18;50818503;0;;7N0309;9212802;9212170;9213430;9212804;2025-05-15 23:55:12;2;00:00:05;Backward;TGLS_101;1;2;;83;83;9212804;0;2
