ID_Commissione;Data\Ora TX;Macchina;Tipo;Risultati;Data\Ora RX;Quota;# PLC;# UDC;Cella;Destinazione;Inizio;Fine;Quota inizio;Data\Ora inizio;Distanza;Durata;Direzione;Stato logico;Indice;Num. missioni;Note;Livello Batteria Tx;Livello Batteria Rx;Valore encoder Tx;Peso UDC
1;2022-05-29 18:07:00;Shuttle2;(92) Abilita batteria;(1) OK;2022-05-29 18:07:00;84257;0;;Lift2;84254;80700;85000;84257;2022-05-29 18:07:00;3;00:00:01; ;Unknown;1;1;;99;99;84257;0
1;2022-05-29 18:07:00;Shuttle2;(20) Deposito con catena;(1) OK;2022-05-29 18:07:00;84257;679;BECIWMS0705;Lift2;84254;80700;85000;84257;2022-05-29 18:07:00;3;00:00:07;Indietro;TGLS_202;1;1;;99;99;84257;70
1;2022-05-29 18:07:00;Shuttle1;(92) Abilita batteria;(1) OK;2022-05-29 18:07:00;89049;0;;Lift1;89050;85490;89790;89049;2022-05-29 18:07:00;1;00:00:01; ;Unknown;3;3;;99;99;130129;0
1;2022-05-29 18:07:00;Shuttle1;(40) Ingresso;(1) OK;2022-05-29 18:07:00;89049;0;;Lift1;89050;85490;89790;129856;2022-05-29 18:07:00;40806;00:00:09;Indietro;TGLS_201;2;3;;99;99;130129;0
1;2022-05-29 18:07:00;Shuttle1;(30) Spostamento;(1) OK;2022-05-29 18:07:00;129856;0;;;129850;126232;152404;130129;2022-05-29 18:07:00;279;00:00:03;Indietro;TGLS_201;1;3;;99;99;130129;0
1;2022-05-29 18:06:00;Shuttle2;(40) Ingresso;(21) OK silent warning;2022-05-29 18:07:00;84257;0;;Lift2;84254;80700;85000;429884;2022-05-29 18:06:00;345630;00:00:18;Indietro;TGLS_202;2;2;;100;99;433510;0
1;2022-05-29 18:06:00;Shuttle2;(30) Spostamento;(1) OK;2022-05-29 18:06:00;429884;0;;;429878;426270;452441;433510;2022-05-29 18:06:00;3632;00:00:09;Indietro;TGLS_202;1;2;;100;100;433510;0
1;2022-05-29 18:06:00;Satellite2;(92) Abilita batteria;(1) OK;2022-05-29 18:06:00;5901842;0;;Shuttle2;5901842;5901242;5902442;5901842;2022-05-29 18:06:00;0;00:00:01; ;Unknown;7;7;;99;99;5901840;0
1;2022-05-29 18:06:00;Satellite2;(20) Deposito;(1) OK;2022-05-29 18:06:00;5901842;679;BECIWMS0705;Shuttle2;5901842;5901242;5902442;5901842;2022-05-29 18:06:00;0;00:00:01; ;TGLS_203;6;7;;99;99;5901840;70
1;2022-05-29 18:06:00;Satellite2;(40) Ingresso;(1) OK;2022-05-29 18:06:00;5901842;679;BECIWMS0705;Shuttle2;5901842;5901242;5902442;2429531;2022-05-29 18:06:00;3472311;00:00:04;Indietro;TGLS_213;5;7;;99;99;5901840;70
1;2022-05-29 18:06:00;Satellite2;(30) Spostamento;(1) OK;2022-05-29 18:06:00;2429531;679;BECIWMS0705;L3-C03-R - WH2 (N 143);2429525;2428889;2439426;2438872;2022-05-29 18:06:00;9347;00:00:06;Indietro;TGLS_233;4;7;;99;99;5901840;70
1;2022-05-29 18:06:00;Satellite2;(10) Prelievo;(1) OK;2022-05-29 18:06:00;2438872;679;BECIWMS0705;L3-C03-R - WH2 (N 143);2438874;2428889;2439426;2438872;2022-05-29 18:06:00;2;00:00:02; ;TGLS_134;3;7;;99;99;5901840;70
1;2022-05-29 18:06:00;Satellite2;(30) Spostamento;(1) OK;2022-05-29 18:06:00;2438872;679;BECIWMS0705;L3-C03-R - WH2 (N 143);2438874;2428889;2439426;2429547;2022-05-29 18:06:00;9327;00:00:07;Avanti;TGLS_101;2;7;;99;99;5901840;70
1;2022-05-29 18:06:00;Satellite2;(50) Uscita;(1) OK;2022-05-29 18:06:00;2429547;0;;Shuttle2;5901842;5901242;5902442;5901840;2022-05-29 18:06:00;2;00:00:04;Avanti;TGLS_101;1;7;;99;99;5901840;0
1;2022-05-29 18:06:00;Satellite2;(91) Disabilita batteria;(1) OK;2022-05-29 18:06:00;5901840;0;;Shuttle2;5901842;5901242;5902442;5901840;2022-05-29 18:06:00;2;00:00:02; ;Unknown;1;1;;99;99;5901840;0
1;2022-05-29 18:06:00;Satellite1;(92) Abilita batteria;(1) OK;2022-05-29 18:06:00;5900613;0;;Shuttle1;5900610;5900010;5901210;5900613;2022-05-29 18:06:00;3;00:00:01; ;Unknown;1;1;;99;99;5900613;0
1;2022-05-29 18:06:00;Shuttle2;(30) Spostamento;(21) OK silent warning;2022-05-29 18:06:00;433510;0;;L3-C03-R - WH2 (N 143);433509;426270;452441;429849;2022-05-29 18:06:00;3660;00:00:09;Avanti;TGLS_201;3;3;;100;100;84257;0
1;2022-05-29 18:06:00;Shuttle2;(50) Uscita;(1) OK;2022-05-29 18:06:00;429849;0;;Lift2;84254;80700;85000;84257;2022-05-29 18:06:00;3;00:00:06;Avanti;TGLS_201;2;3;;100;100;84257;0
1;2022-05-29 18:06:00;Shuttle2;(91) Disabilita batteria;(1) OK;2022-05-29 18:06:00;84257;0;;Lift2;84254;80700;85000;84257;2022-05-29 18:06:00;3;00:00:02; ;Unknown;1;3;;100;100;84257;0
