Data\Ora TX;Macchina;Tipo;Risultati;Data\Ora RX;Quota;# PLC;# UDC;Cella;Destinazione;Inizio;Fine;Quota inizio;Data\Ora inizio;Distanza;Durata;Direzione;Stato logico;Indice;Num. missioni;Note;Livello Batteria Tx;Livello Batteria Rx;Valore encoder Tx;Peso UDC
29/05/2022 18:07;Shuttle2;(92) Abilita batteria;(1) OK;29/05/2022 18:07;84257;0;;Lift2;84254;80700;85000;84257;29/05/2022 18:07;3;00:00:01; ;Unknown;1;1;;99;99;84257;0
29/05/2022 18:07;Shuttle2;(20) Deposito con catena;(1) OK;29/05/2022 18:07;84257;679;BECIWMS0705;Lift2;84254;80700;85000;84257;29/05/2022 18:07;3;00:00:07;Indietro;TGLS_202;1;1;;99;99;84257;70
29/05/2022 18:07;Shuttle1;(92) Abilita batteria;(1) OK;29/05/2022 18:07;89049;0;;Lift1;89050;85490;89790;89049;29/05/2022 18:07;1;00:00:01; ;Unknown;3;3;;99;99;130129;0
29/05/2022 18:07;Shuttle1;(40) Ingresso;(1) OK;29/05/2022 18:07;89049;0;;Lift1;89050;85490;89790;129856;29/05/2022 18:07;40806;00:00:09;Indietro;TGLS_201;2;3;;99;99;130129;0
29/05/2022 18:07;Shuttle1;(30) Spostamento;(1) OK;29/05/2022 18:07;129856;0;;;129850;126232;152404;130129;29/05/2022 18:07;279;00:00:03;Indietro;TGLS_201;1;3;;99;99;130129;0
29/05/2022 18:06;Shuttle2;(40) Ingresso;(21) OK silent warning;29/05/2022 18:07;84257;0;;Lift2;84254;80700;85000;429884;29/05/2022 18:06;345630;00:00:18;Indietro;TGLS_202;2;2;;100;99;433510;0
29/05/2022 18:06;Shuttle2;(30) Spostamento;(1) OK;29/05/2022 18:06;429884;0;;;429878;426270;452441;433510;29/05/2022 18:06;3632;00:00:09;Indietro;TGLS_202;1;2;;100;100;433510;0
29/05/2022 18:06;Satellite2;(92) Abilita batteria;(1) OK;29/05/2022 18:06;5901842;0;;Shuttle2;5901842;5901242;5902442;5901842;29/05/2022 18:06;0;00:00:01; ;Unknown;7;7;;99;99;5901840;0
29/05/2022 18:06;Satellite2;(20) Deposito;(1) OK;29/05/2022 18:06;5901842;679;BECIWMS0705;Shuttle2;5901842;5901242;5902442;5901842;29/05/2022 18:06;0;00:00:01; ;TGLS_203;6;7;;99;99;5901840;70
29/05/2022 18:06;Satellite2;(40) Ingresso;(1) OK;29/05/2022 18:06;5901842;679;BECIWMS0705;Shuttle2;5901842;5901242;5902442;2429531;29/05/2022 18:06;3472311;00:00:04;Indietro;TGLS_213;5;7;;99;99;5901840;70
29/05/2022 18:06;Satellite2;(30) Spostamento;(1) OK;29/05/2022 18:06;2429531;679;BECIWMS0705;L3-C03-R - WH2 (N 143);2429525;2428889;2439426;2438872;29/05/2022 18:06;9347;00:00:06;Indietro;TGLS_233;4;7;;99;99;5901840;70
29/05/2022 18:06;Satellite2;(10) Prelievo;(1) OK;29/05/2022 18:06;2438872;679;BECIWMS0705;L3-C03-R - WH2 (N 143);2438874;2428889;2439426;2438872;29/05/2022 18:06;2;00:00:02; ;TGLS_134;3;7;;99;99;5901840;70
29/05/2022 18:06;Satellite2;(30) Spostamento;(1) OK;29/05/2022 18:06;2438872;679;BECIWMS0705;L3-C03-R - WH2 (N 143);2438874;2428889;2439426;2429547;29/05/2022 18:06;9327;00:00:07;Avanti;TGLS_101;2;7;;99;99;5901840;70
29/05/2022 18:06;Satellite2;(50) Uscita;(1) OK;29/05/2022 18:06;2429547;0;;Shuttle2;5901842;5901242;5902442;5901840;29/05/2022 18:06;2;00:00:04;Avanti;TGLS_101;1;7;;99;99;5901840;0
29/05/2022 18:06;Satellite2;(91) Disabilita batteria;(1) OK;29/05/2022 18:06;5901840;0;;Shuttle2;5901842;5901242;5902442;5901840;29/05/2022 18:06;2;00:00:02; ;Unknown;1;1;;99;99;5901840;0
29/05/2022 18:06;Satellite1;(92) Abilita batteria;(1) OK;29/05/2022 18:06;5900613;0;;Shuttle1;5900610;5900010;5901210;5900613;29/05/2022 18:06;3;00:00:01; ;Unknown;1;1;;99;99;5900613;0
29/05/2022 18:06;Shuttle2;(30) Spostamento;(21) OK silent warning;29/05/2022 18:06;433510;0;;L3-C03-R - WH2 (N 143);433509;426270;452441;429849;29/05/2022 18:06;3660;00:00:09;Avanti;TGLS_201;3;3;;100;100;84257;0
29/05/2022 18:06;Shuttle2;(50) Uscita;(1) OK;29/05/2022 18:06;429849;0;;Lift2;84254;80700;85000;84257;29/05/2022 18:06;3;00:00:06;Avanti;TGLS_201;2;3;;100;100;84257;0
29/05/2022 18:06;Shuttle2;(91) Disabilita batteria;(1) OK;29/05/2022 18:06;84257;0;;Lift2;84254;80700;85000;84257;29/05/2022 18:06;3;00:00:02; ;Unknown;1;3;;100;100;84257;0
29/05/2022 18:05;Satellite1;(40) Ingresso;(1) OK;29/05/2022 18:06;5900613;0;;Shuttle1;5900610;5900010;5901210;1053428;29/05/2022 18:05;4847182;00:00:04;Indietro;TGLS_113;6;6;;99;99;5900613;0
29/05/2022 18:05;Satellite1;(30) Spostamento;(1) OK;29/05/2022 18:05;1053428;0;;L2-C01-R - WH1 (N 29);1053422;1052792;1072929;1056972;29/05/2022 18:05;3550;00:00:05;Indietro;TGLS_133;5;6;;99;99;5900613;0
29/05/2022 18:05;Satellite1;(20) Deposito;(1) OK;29/05/2022 18:05;1056972;92;BECIWMS0145;L2-C01-R - WH1 (N 29);1056973;1052792;1072929;1056972;29/05/2022 18:05;1;00:00:02; ;TGLS_233;4;6;;99;99;5900613;0
