Data\Ora;Tipologia;Periferica;Valore;Codice;Descrizione
12/05/2025 16:00:48;;1B01;OFF;DB1106.DBX1.2;1B01 - DB1106.DBX1.2 - Inbound transfer time-out
12/05/2025 15:42:03;;1B01;ON;DB1106.DBX1.2;1B01 - DB1106.DBX1.2 - Inbound transfer time-out
12/05/2025 15:19:24;;7N0408;OFF;DB106.DBX15.3;#12 - Allarme posizione safe non ok(Datamatrix Profinet)
12/05/2025 15:19:08;;7S0408;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
12/05/2025 15:19:08;;7S0408;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
12/05/2025 15:19:08;;7N0408;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
12/05/2025 14:56:19;;7N0408;ON;DB106.DBX15.3;#12 - Allarme posizione safe non ok(Datamatrix Profinet)
12/05/2025 14:56:16;;7S0408;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
12/05/2025 14:56:16;;7S0408;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
12/05/2025 14:56:15;;7N0408;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
12/05/2025 14:51:06;;7S0308;OFF;DB106.DBX12.7;#7 -  Generale -  Perdita valore encoder
12/05/2025 14:50:43;;7S0308;ON;DB106.DBX12.7;#7 -  Generale -  Perdita valore encoder
12/05/2025 14:50:43;;7S0308;OFF;DB106.DBX12.3;#3 -  Generale -  Macchina in manuale con missioni appese
12/05/2025 14:49:51;;7S0308;ON;DB106.DBX12.3;#3 -  Generale -  Macchina in manuale con missioni appese
12/05/2025 14:49:37;;7S0308;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
12/05/2025 14:49:37;;7S0308;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
12/05/2025 14:49:37;;7S0309;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
12/05/2025 14:49:37;;7S0309;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
12/05/2025 14:49:37;;7S0307;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
12/05/2025 14:49:37;;7S0307;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
12/05/2025 14:49:36;;7N0308;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
12/05/2025 14:49:36;;7N0308;OFF;DB106.DBX14.2;#3 - Hardware - Premuto fungo di emergenza lato backward
12/05/2025 14:49:36;;7N0308;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
12/05/2025 14:49:36;;7N0309;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
12/05/2025 14:49:36;;7N0309;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
12/05/2025 14:49:36;;7N0307;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
12/05/2025 14:49:36;;7N0307;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
12/05/2025 14:45:54;;7N0308;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
