ID_Commessa;Data\Ora;Alarm;Periferica;Valore;Codice;Descrizione
2;2025-03-18 15:39:00;Alarm;Satellite1;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
2;2025-03-18 15:39:00;Alarm;Satellite2;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
2;2025-03-18 15:38:00;Alarm;Satellite4;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
2;2025-03-18 15:38:00;Alarm;Satellite3;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
2;2025-03-18 15:38:00;Alarm;Shuttle1;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
2;2025-03-18 15:38:00;Alarm;Shuttle2;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
2;2025-03-18 15:38:00;Alarm;Shuttle3;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
2;2025-03-18 15:38:00;Alarm;Shuttle4;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
2;2025-03-18 15:38:00;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:38:00;;H2;OFF;DB106.DBX6.2; - 50 - PORTA ACCESSO AL MAGAZZINO APERTA
2;2025-03-18 15:38:00;;H2;OFF;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
2;2025-03-18 15:34:00;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:34:00;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:29:00;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:29:00;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:28:00;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:28:00;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:24:00;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:24:00;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:20:00;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:20:00;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:05:00;;H2;ON;DB106.DBX6.2; - 50 - PORTA ACCESSO AL MAGAZZINO APERTA
2;2025-03-18 15:04:00;;H2;ON;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
2;2025-03-18 15:04:00;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:04:00;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:04:00;;H2;OFF;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
2;2025-03-18 15:04:00;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
2;2025-03-18 15:04:00;;H2;ON;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
2;2025-03-18 15:03:00;Alarm;Satellite4;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
2;2025-03-18 15:03:00;Alarm;Shuttle1;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
