Data\Ora TX;Macchina;Tipo;Risultati;Data\Ora RX;Quota;# PLC;# UDC;Cella;Destinazione;Inizio;Fine;Quota inizio;Data\Ora inizio;Distanza;Durata;Direzione;Stato logico;Indice;Num. missioni;Note;Livello Batteria Tx;Livello Batteria Rx;Peso UDC
03/03/2025 20:09:42;Shuttle3;(30) Spostamento;(1) OK;03/03/2025 20:09:52;202887;0;;L10-C00-R  (C7)-WH1;202889;200220;279539;212104;03/03/2025 20:09:42;9215;00:00:10;Indietro;TGLS_201;1;1;;0;0;0
03/03/2025 20:04:39;Satellite3;(92) Abilita batteria;(1) OK;03/03/2025 20:04:41;12701871;0;;L3-C00-R  (Shuttle3)-WH1;12701869;12701260;12702480;12701871;03/03/2025 20:04:39;2;00:00:01; ;Unknown;1;1;;67;67;0
03/03/2025 20:04:02;Satellite3;(40) Ingresso;(1) OK;03/03/2025 20:04:34;12701871;0;;L3-C00-R  (Shuttle3)-WH1;12701869;12701260;12702480;10486213;03/03/2025 20:04:30;2215656;00:00:04;Indietro;TGLS_113;5;5;;67;67;0
03/03/2025 20:04:02;Satellite3;(30) Spostamento;(1) OK;03/03/2025 20:04:30;10486213;0;;L3-C05-R -WH1;10486205;10485570;10495998;10493595;03/03/2025 20:04:22;7390;00:00:07;Indietro;TGLS_133;4;5;;67;67;0
03/03/2025 20:04:02;Satellite3;(20) Deposito;(1) OK;03/03/2025 20:04:22;10493595;1417;100800156102248877;L3-C05-R -WH1;10493597;10485570;10495998;10493595;03/03/2025 20:04:20;2;00:00:02; ;TGLS_233;3;5;;67;67;524
03/03/2025 20:04:02;Satellite3;(30) Spostamento;(1) OK;03/03/2025 20:04:20;10493595;1417;100800156102248877;L3-C05-R -WH1;10493597;10485570;10495998;10486238;03/03/2025 20:04:07;7359;00:00:12;Avanti;TGLS_213;2;5;;67;67;524
03/03/2025 20:04:02;Satellite3;(50) Uscita;(1) OK;03/03/2025 20:04:07;10486238;1417;100800156102248877;L3-C05-R -WH1;12701869;12701260;12702480;12701872;03/03/2025 20:04:02;3;00:00:05;Avanti;TGLS_203;1;5;;67;67;524
03/03/2025 20:03:57;Satellite3;(10) Prelievo;(1) OK;03/03/2025 20:04:00;12701872;1417;100800156102248877;L3-C00-R  (Shuttle3)-WH1;12701869;12701260;12702480;12701872;03/03/2025 20:03:57;3;00:00:03; ;TGLS_107;1;1;;67;67;524
03/03/2025 20:03:43;Satellite3;(91) Disabilita batteria;(1) OK;03/03/2025 20:03:45;12701872;0;;L3-C00-R  (Shuttle3)-WH1;12701869;12701260;12702480;12701872;03/03/2025 20:03:43;3;00:00:02; ;Unknown;1;1;;67;67;0
03/03/2025 20:03:39;Shuttle3;(30) Spostamento;(1) OK;03/03/2025 20:04:02;212101;0;;L3-C05-L -WH1;212104;200220;279539;259467;03/03/2025 20:03:39;47363;00:00:22;Indietro;TGLS_202;1;1;;0;0;0
03/03/2025 20:03:06;Satellite3;(92) Abilita batteria;(1) OK;03/03/2025 20:03:42;12701872;0;;L3-C00-R  (Shuttle3)-WH1;12701869;12701260;12702480;12701872;03/03/2025 20:03:41;3;00:00:01; ;Unknown;7;7;;67;67;0
03/03/2025 20:03:06;Satellite3;(20) Deposito;(1) OK;03/03/2025 20:03:41;12701872;1417;100800156102248877;L3-C00-R  (Shuttle3)-WH1;12701869;12701260;12702480;12701872;03/03/2025 20:03:38;3;00:00:02; ;TGLS_203;6;7;;67;67;524
03/03/2025 20:03:06;Satellite3;(40) Ingresso;(1) OK;03/03/2025 20:03:38;12701872;1417;100800156102248877;L3-C00-R  (Shuttle3)-WH1;12701869;12701260;12702480;9464384;03/03/2025 20:03:32;3237485;00:00:06;Indietro;TGLS_213;5;7;;67;67;524
03/03/2025 20:03:06;Satellite3;(30) Spostamento;(1) OK;03/03/2025 20:03:32;9464384;1417;100800156102248877;L3-C37-R -WH1;9464374;9463738;9474152;9472649;03/03/2025 20:03:21;8275;00:00:10;Indietro;TGLS_233;4;7;;67;67;524
03/03/2025 20:03:06;Satellite3;(10) Prelievo;(1) OK;03/03/2025 20:03:21;9472649;1417;100800156102248877;L3-C37-R -WH1;9472651;9463738;9474152;9472649;03/03/2025 20:03:19;2;00:00:02; ;TGLS_134;3;7;;67;67;524
03/03/2025 20:03:06;Satellite3;(30) Spostamento;(1) OK;03/03/2025 20:03:19;9472649;1417;100800156102248877;L3-C37-R -WH1;9472651;9463738;9474152;9464410;03/03/2025 20:03:11;8241;00:00:08;Avanti;TGLS_101;2;7;;67;67;524
03/03/2025 20:03:06;Satellite3;(50) Uscita;(1) OK;03/03/2025 20:03:11;9464410;0;;L3-C37-R -WH1;12701869;12701260;12702480;12701866;03/03/2025 20:03:06;3;00:00:04;Avanti;TGLS_101;1;7;;67;67;0
03/03/2025 20:02:45;Satellite3;(91) Disabilita batteria;(1) OK;03/03/2025 20:02:47;12701865;0;;L3-C00-R  (Shuttle3)-WH1;12701869;12701260;12702480;12701865;03/03/2025 20:02:45;4;00:00:02; ;Unknown;1;1;;67;67;0
03/03/2025 20:02:42;Satellite3;(92) Abilita batteria;(1) OK;03/03/2025 20:02:44;12701865;0;;L3-C00-R  (Shuttle3)-WH1;12701869;12701260;12702480;12701865;03/03/2025 20:02:42;4;00:00:01; ;Unknown;1;1;;67;67;0
03/03/2025 20:02:42;Shuttle3;(30) Spostamento;(1) OK;03/03/2025 20:03:06;259468;0;;L3-C37-L -WH1;259466;200220;279539;206191;03/03/2025 20:02:42;53275;00:00:23;Avanti;TGLS_201;1;1;;0;0;0
