Descrizione;Data\Ora inizio;Data\Ora fine;Durata;Macchina;Origine;Destinazione;# UDC;# PLC;Tipo
Spostamento;18/03/2025 13:46:02;18/03/2025 13:47:19;00:01:17;ESS02;L2-C22-R -WH1;L2-C22-L -WH1;100800156102529556;269;2. w1200 x d850 x h1400
Spostamento;18/03/2025 13:46:02;18/03/2025 13:46:02;00:00:00;ESS02;;L2-C22-L -WH1;100800156102595636;973;2. w1200 x d850 x h1400
Spostamento;18/03/2025 13:44:42;18/03/2025 13:45:49;00:01:06;ESS02;L2-C22-R -WH1;L2-C22-L -WH1;100800156102595636;973;2. w1200 x d850 x h1400
Spostamento;18/03/2025 13:43:14;18/03/2025 13:44:42;00:01:27;ESS02;L2-C22-R -WH1;L2-C22-L -WH1;100800156102646550;795;2. w1200 x d850 x h1400
Spostamento;18/03/2025 13:41:45;18/03/2025 13:43:14;00:01:29;ESS02;L2-C22-R -WH1;L2-C22-L -WH1;100800156102646512;783;2. w1200 x d850 x h1400
Spostamento;18/03/2025 13:40:27;18/03/2025 13:41:45;00:01:17;ESS02;L2-C22-R -WH1;L2-C22-L -WH1;100800156102647786;680;2. w1200 x d850 x h1400
Spostamento;18/03/2025 13:38:43;18/03/2025 13:40:27;00:01:43;ESS02;L2-C22-R -WH1;L2-C22-L -WH1;100800156102558907;350;2. w1200 x d850 x h1400
Carico;18/03/2025 12:32:56;18/03/2025 12:34:32;00:01:36;ESS04;L10-C00-R  (C7)-WH1;L4-C42-L -WH1;100800156102743877;2543;5. w1200 x d850 x h900
Carico;18/03/2025 12:31:18;18/03/2025 12:32:50;00:01:32;ESS04;L10-C00-R  (C7)-WH1;L4-C42-L -WH1;100800156102743884;2413;5. w1200 x d850 x h900
Carico;18/03/2025 12:29:40;18/03/2025 12:31:12;00:01:32;ESS04;L10-C00-R  (C7)-WH1;L4-C42-L -WH1;100800156102743846;2282;5. w1200 x d850 x h900
Carico;18/03/2025 12:28:02;18/03/2025 12:29:35;00:01:32;ESS04;L10-C00-R  (C7)-WH1;L4-C42-L -WH1;100800156102743815;2172;5. w1200 x d850 x h900
Carico;18/03/2025 12:27:13;18/03/2025 12:27:13;00:00:00;;;L10-C00-L  (R1)-WH1;100800156102743877;2543;5. w1200 x d850 x h900
Carico;18/03/2025 12:26:24;18/03/2025 12:27:56;00:01:32;ESS04;L10-C00-R  (C7)-WH1;L4-C42-L -WH1;100800156102743754;2131;5. w1200 x d850 x h900
Carico;18/03/2025 12:26:19;18/03/2025 12:26:19;00:00:00;;;L10-C00-L  (R1)-WH1;100800156102743884;2413;5. w1200 x d850 x h900
